Transaction_ID,Order_ID,Revenue,Raw_Material_Cost,Labor_Cost,Power_Cost,Transport_Cost,Profit,Profit_Margin,Payment_Status
TXN00001,ORD00001,2914965,1400850.64,249199.25,104043.83,209953.88,950917.4,32.62,Pending
TXN00002,ORD00002,1599713,723047.26,213085.66,81684.18,90081.93,491813.97,30.74,Pending
TXN00003,ORD00003,2118734,846112.09,188629.78,94702.91,73670.95,915618.26,43.22,Paid
TXN00004,ORD00004,2370071,847545.31,311438.94,114524.35,180688.51,915873.9,38.64,Pending
TXN00005,ORD00005,1034782,367373.58,138935.76,26241.82,49633.11,452597.72,43.74,Pending
TXN00006,ORD00006,2852133,1324504.88,327264.66,153042.13,198627.2,848694.14,29.76,Pending
TXN00007,ORD00007,1269499,591001.95,163275.2,54774.78,65318.33,395128.74,31.12,Pending
TXN00008,ORD00008,558376,270965.69,46345.61,12667.45,33070.45,195326.8,34.98,Paid
TXN00009,ORD00009,2941109,1149579.35,337167.1,114697.07,155458.21,1184207.28,40.26,Pending
TXN00010,ORD00010,2392392,872232.31,298028.83,61372.32,117847.73,1042910.81,43.59,Paid
TXN00011,ORD00011,1371391,598899.75,175985.64,51916.6,66571.32,478017.69,34.86,Paid
TXN00012,ORD00012,885932,383026.53,90602.66,29726.3,64913.02,317663.49,35.86,Paid
TXN00013,ORD00013,1882926,720773.39,237429.28,68565.02,84943.19,771215.13,40.96,Paid
TXN00014,ORD00014,1606340,680979.57,128533.63,84834.44,74765.82,637226.54,39.67,Pending
TXN00015,ORD00015,198734,89172.71,20682.45,4219.55,9644.57,75014.72,37.75,Pending
TXN00016,ORD00016,1737179,789305.06,223300.74,67984.94,107065.4,549522.85,31.63,Paid
TXN00017,ORD00017,348287,122051.53,44183.74,11555.7,26155.5,144340.54,41.44,Pending
TXN00018,ORD00018,2336730,1028314.29,188162.84,126118.23,82040.53,912094.11,39.03,Paid
TXN00019,ORD00019,2328158,962687.99,247250.04,76797.4,123099.46,918323.12,39.44,Paid
TXN00020,ORD00020,1307176,594718.42,156433.64,42958.77,56043.72,457021.45,34.96,Pending
TXN00021,ORD00021,560945,256739.66,53834.07,27071.05,30716.49,192583.73,34.33,Pending
TXN00022,ORD00022,330105,122886.88,38072.92,11021.22,15396.86,142727.12,43.24,Pending
