Inventory_ID,Warehouse,Leather_Type,Current_Stock,Reserved_Stock,Minimum_Level,Maximum_Level,Reorder_Status
INV00001,Ranipet Warehouse,Goat,3171,178,1000,12000,OK
INV00002,Chennai Port Warehouse,Cow,9944,845,1000,12000,OK
INV00003,Vaniyambadi Warehouse,Goat,8363,861,1000,12000,OK
INV00004,Vaniyambadi Warehouse,Sheep,842,719,1000,12000,Reorder
INV00005,Ranipet Warehouse,Buffalo,2233,99,1000,12000,OK
INV00006,Ranipet Warehouse,Cow,572,587,1000,12000,Reorder
INV00007,Ambur Warehouse,Cow,500,707,1000,12000,Reorder
INV00008,Vaniyambadi Warehouse,Buffalo,7219,708,1000,12000,OK
INV00009,Ambur Warehouse,Sheep,3967,842,1000,12000,OK
INV00010,Vaniyambadi Warehouse,Goat,9172,665,1000,12000,OK
INV00011,Ambur Warehouse,Cow,873,711,1000,12000,Reorder
INV00012,Ranipet Warehouse,Goat,5421,694,1000,12000,OK
INV00013,Ambur Warehouse,Goat,9318,992,1000,12000,OK
INV00014,Ranipet Warehouse,Buffalo,4766,231,1000,12000,OK
INV00015,Ambur Warehouse,Goat,501,824,1000,12000,Reorder
INV00016,Vaniyambadi Warehouse,Cow,2650,512,1000,12000,OK
INV00017,Chennai Port Warehouse,Sheep,3889,968,1000,12000,OK
INV00018,Vaniyambadi Warehouse,Sheep,2714,218,1000,12000,OK
INV00019,Chennai Port Warehouse,Goat,3580,329,1000,12000,OK
INV00020,Ranipet Warehouse,Cow,9347,539,1000,12000,OK
INV00021,Chennai Port Warehouse,Goat,8285,704,1000,12000,OK
INV00022,Ranipet Warehouse,Goat,8112,907,1000,12000,OK
INV00023,Ambur Warehouse,Buffalo,5198,561,1000,12000,OK
INV00024,Vaniyambadi Warehouse,Buffalo,3963,149,1000,12000,OK
INV00025,Ambur Warehouse,Cow,3862,721,1000,12000,OK
INV00026,Ambur Warehouse,Buffalo,8676,901,1000,12000,OK
INV00027,Ambur Warehouse,Buffalo,4124,843,1000,12000,OK
INV00028,Vaniyambadi Warehouse,Sheep,9848,948,1000,12000,OK
INV00029,Vaniyambadi Warehouse,Goat,8886,447,1000,12000,OK
INV00030,Vaniyambadi Warehouse,Sheep,826,588,1000,12000,Reorder
INV00031,Ambur Warehouse,Buffalo,2643,324,1000,12000,OK
INV00032,Ambur Warehouse,Cow,3498,739,1000,12000,OK
INV00033,Ambur Warehouse,Goat,2117,362,1000,12000,OK
INV00034,Ranipet Warehouse,Goat,5500,268,1000,12000,OK
INV00035,Ranipet Warehouse,Goat,2224,787,1000,12000,OK
INV00036,Chennai Port Warehouse,Sheep,988,443,1000,12000,Reorder
INV00037,Vaniyambadi Warehouse,Cow,9756,860,1000,12000,OK
INV00038,Chennai Port Warehouse,Cow,2487,338,1000,12000,OK
INV00039,Chennai Port Warehouse,Cow,838,837,1000,12000,Reorder
INV00040,Ambur Warehouse,Goat,9968,112,1000,12000,OK
INV00041,Vaniyambadi Warehouse,Sheep,9369,576,1000,12000,OK
INV00042,Ambur Warehouse,Sheep,7079,662,1000,12000,OK
INV00043,Vaniyambadi Warehouse,Goat,1797,906,1000,12000,OK
INV00044,Ambur Warehouse,Cow,3682,504,1000,12000,OK
INV00045,Chennai Port Warehouse,Buffalo,7809,764,1000,12000,OK
INV00046,Chennai Port Warehouse,Buffalo,6848,913,1000,12000,OK
INV00047,Ranipet Warehouse,Buffalo,2997,617,1000,12000,OK
INV00048,Ambur Warehouse,Cow,3637,191,1000,12000,OK
INV00049,Chennai Port Warehouse,Cow,3650,277,1000,12000,OK
INV00050,Chennai Port Warehouse,Goat,2990,344,1000,12000,OK
INV00051,Chennai Port Warehouse,Cow,4524,446,1000,12000,OK
INV00052,Ambur Warehouse,Buffalo,2245,437,1000,12000,OK
INV00053,Ambur Warehouse,Cow,4921,40,1000,12000,OK
INV00054,Ambur Warehouse,Buffalo,8907,615,1000,12000,OK
INV00055,Chennai Port Warehouse,Buffalo,9887,291,1000,12000,OK
INV00056,Ambur Warehouse,Cow,8356,119,1000,12000,OK
INV00057,Chennai Port Warehouse,Buffalo,1917,759,1000,12000,OK
INV00058,Ranipet Warehouse,Cow,2746,330,1000,12000,OK
INV00059,Ambur Warehouse,Cow,2044,240,1000,12000,OK
INV00060,Ranipet Warehouse,Buffalo,1216,58,1000,12000,OK
INV00061,Ambur Warehouse,Goat,4357,503,1000,12000,OK
INV00062,Ranipet Warehouse,Cow,3750,422,1000,12000,OK
INV00063,Vaniyambadi Warehouse,Buffalo,6778,124,1000,12000,OK
INV00064,Vaniyambadi Warehouse,Goat,7158,529,1000,12000,OK
INV00065,Ambur Warehouse,Buffalo,3549,448,1000,12000,OK
INV00066,Vaniyambadi Warehouse,Goat,9052,102,1000,12000,OK
INV00067,Ambur Warehouse,Buffalo,5078,770,1000,12000,OK
INV00068,Vaniyambadi Warehouse,Goat,8392,342,1000,12000,OK
