Order_ID,Customer_ID,Country,Product_Type,Leather_Type,Order_Date,Delivery_Date,Quantity_SqFt,Price_per_SqFt,Total_Value,Currency,Order_Status,Factory_ID
ORD00001,CUST0143,France,Wet Blue Leather,Cow,2025-07-29,2025-09-17,1482,230,340860,EUR,Pending,Chennai Finishing
ORD00002,CUST0223,USA,Wet Blue Leather,Cow,2025-09-06,2025-10-10,1342,153,205326,USD,Completed,Chennai Finishing
ORD00003,CUST0058,USA,Finished Leather,Goat,2025-07-23,2025-08-30,2273,169,384137,USD,Pending,Ambur Unit
ORD00004,CUST0156,Germany,Wet Blue Leather,Goat,2024-07-03,2024-08-04,4881,87,424647,EUR,Completed,Vaniyambadi Unit
ORD00005,CUST0223,USA,Finished Leather,Buffalo,2025-11-04,2025-12-14,2847,224,637728,USD,Completed,Vaniyambadi Unit
ORD00006,CUST0097,South Korea,Wet Blue Leather,Goat,2024-12-15,2025-01-09,7378,196,1446088,EUR,Shipped,Ambur Unit
ORD00007,CUST0227,UK,Finished Leather,Cow,2024-06-10,2024-08-03,1361,119,161959,EUR,Pending,Chennai Finishing
ORD00008,CUST0125,Japan,Leather Panels,Cow,2024-10-06,2024-11-03,7742,186,1440012,EUR,Pending,Ambur Unit
ORD00009,CUST0073,Japan,Finished Leather,Buffalo,2025-11-14,2025-12-18,8472,214,1813008,EUR,Shipped,Ambur Unit
ORD00010,CUST0002,Germany,Wet Blue Leather,Goat,2024-08-04,2024-08-27,3849,157,604293,EUR,Completed,Ambur Unit
ORD00011,CUST0128,UK,Leather Panels,Buffalo,2024-05-12,2024-06-20,7555,124,936820,EUR,Completed,Chennai Finishing
ORD00012,CUST0221,China,Finished Leather,Goat,2024-01-20,2024-03-04,1193,191,227863,EUR,Shipped,Chennai Finishing
ORD00013,CUST0182,France,Finished Leather,Goat,2024-04-27,2024-06-06,7343,154,1130822,USD,Shipped,Chennai Finishing
ORD00014,CUST0213,Spain,Crust Leather,Sheep,2025-03-23,2025-04-13,6428,102,655656,EUR,Shipped,Ambur Unit
ORD00015,CUST0102,Vietnam,Wet Blue Leather,Buffalo,2024-12-13,2025-01-11,5583,270,1507410,USD,Shipped,Ambur Unit
ORD00016,CUST0136,China,Crust Leather,Buffalo,2024-12-23,2025-01-29,8855,129,1142295,USD,Completed,Ranipet Unit
ORD00017,CUST0051,Vietnam,Finished Leather,Buffalo,2024-06-05,2024-07-31,3342,234,782028,EUR,Pending,Chennai Finishing
ORD00018,CUST0175,China,Wet Blue Leather,Goat,2025-10-12,2025-12-05,9748,244,2378512,USD,Pending,Ambur Unit
ORD00019,CUST0121,France,Leather Panels,Cow,2024-11-06,2024-12-08,7745,241,1866545,EUR,Shipped,Ambur Unit
ORD00020,CUST0080,Italy,Wet Blue Leather,Goat,2024-02-08,2024-02-26,8065,195,1572675,USD,Shipped,Ambur Unit
ORD00021,CUST0158,Japan,Leather Panels,Cow,2025-04-18,2025-06-09,8807,178,1567646,EUR,Shipped,Vaniyambadi Unit
ORD00022,CUST0083,China,Leather Sheets,Cow,2024-06-03,2024-06-21,8292,208,1724736,EUR,Shipped,Ambur Unit
ORD00023,CUST0130,Spain,Leather Sheets,Sheep,2024-09-10,2024-11-09,3327,90,299430,USD,Pending,Ranipet Unit
ORD00024,CUST0235,Spain,Leather Panels,Cow,2025-02-22,2025-03-30,5134,179,918986,EUR,Completed,Ranipet Unit
ORD00025,CUST0025,Germany,Wet Blue Leather,Buffalo,2025-01-30,2025-03-04,9641,253,2439173,EUR,Completed,Vaniyambadi Unit
ORD00026,CUST0235,Spain,Leather Sheets,Buffalo,2025-11-02,2025-12-31,6231,159,990729,USD,Pending,Chennai Finishing
