Production_ID,Factory_ID,Production_Date,Leather_Type,Batch_No,Raw_Hides,Finished_Output,Waste_Percentage,Machine_Hours,Labor_Hours,Supervisor,Shift,Production_Status
PROD00001,Ambur Unit,2024-06-05,Sheep,B00001,940,868,7.66,10.8,80.0,Supervisor 4,Day,Completed
PROD00002,Ranipet Unit,2024-04-18,Sheep,B00002,429,388,9.56,10.5,24.2,Supervisor 10,Day,Running
PROD00003,Ambur Unit,2025-10-06,Goat,B00003,671,621,7.45,10.7,72.1,Supervisor 3,Day,Completed
PROD00004,Ambur Unit,2024-05-04,Sheep,B00004,823,648,21.26,5.9,55.9,Supervisor 6,Night,Completed
PROD00005,Ranipet Unit,2024-11-21,Buffalo,B00005,944,747,20.87,4.8,43.4,Supervisor 1,Day,Completed
PROD00006,Chennai Finishing,2025-06-17,Goat,B00006,890,810,8.99,10.2,57.3,Supervisor 11,Night,Running
PROD00007,Chennai Finishing,2024-05-18,Goat,B00007,471,436,7.43,11.3,21.9,Supervisor 12,Day,Completed
PROD00008,Vaniyambadi Unit,2024-12-02,Cow,B00008,571,483,15.41,7.3,50.5,Supervisor 2,Day,Completed
PROD00009,Chennai Finishing,2025-04-08,Cow,B00009,736,621,15.62,7.8,28.2,Supervisor 8,Day,Running
PROD00010,Vaniyambadi Unit,2024-11-08,Buffalo,B00010,111,98,11.71,9.2,58.8,Supervisor 12,Night,Completed
PROD00011,Vaniyambadi Unit,2024-03-03,Sheep,B00011,804,702,12.69,9.4,34.7,Supervisor 12,Day,Running
PROD00012,Ambur Unit,2024-04-06,Cow,B00012,420,340,19.05,9.2,38.6,Supervisor 5,Day,Running
PROD00013,Ranipet Unit,2024-06-08,Cow,B00013,879,830,5.57,5.3,36.8,Supervisor 6,Day,Running
PROD00014,Ambur Unit,2024-04-30,Sheep,B00014,549,456,16.94,9.3,78.8,Supervisor 7,Night,Completed
PROD00015,Ranipet Unit,2024-04-15,Goat,B00015,727,661,9.08,8.0,31.5,Supervisor 9,Day,Completed
PROD00016,Ranipet Unit,2025-10-13,Buffalo,B00016,578,438,24.22,6.4,39.5,Supervisor 2,Day,Completed
PROD00017,Ambur Unit,2024-01-28,Buffalo,B00017,494,455,7.89,6.5,39.2,Supervisor 5,Day,Completed
PROD00018,Vaniyambadi Unit,2024-09-04,Sheep,B00018,136,119,12.5,7.1,42.9,Supervisor 10,Night,Completed
PROD00019,Ranipet Unit,2024-08-27,Buffalo,B00019,893,699,21.72,8.3,25.6,Supervisor 5,Day,Completed
PROD00020,Vaniyambadi Unit,2025-09-15,Cow,B00020,740,676,8.65,10.7,67.6,Supervisor 5,Day,Running
PROD00021,Vaniyambadi Unit,2024-10-28,Cow,B00021,769,673,12.48,7.0,60.4,Supervisor 9,Day,Running
PROD00022,Ranipet Unit,2025-11-21,Buffalo,B00022,519,409,21.19,11.6,35.4,Supervisor 8,Night,Completed
PROD00023,Chennai Finishing,2025-09-18,Goat,B00023,855,731,14.5,9.9,50.5,Supervisor 6,Night,Completed
PROD00024,Vaniyambadi Unit,2025-01-27,Buffalo,B00024,391,312,20.2,8.4,40.6,Supervisor 8,Night,Completed
PROD00025,Ambur Unit,2025-08-14,Goat,B00025,448,409,8.71,5.3,65.5,Supervisor 9,Night,Running
PROD00026,Chennai Finishing,2025-10-08,Cow,B00026,1000,947,5.3,6.0,45.6,Supervisor 10,Night,Running
PROD00027,Ambur Unit,2025-04-26,Sheep,B00027,434,343,20.97,6.6,35.5,Supervisor 2,Day,Completed
PROD00028,Ranipet Unit,2024-10-07,Buffalo,B00028,138,124,10.14,8.4,77.0,Supervisor 4,Night,Running
PROD00029,Chennai Finishing,2025-11-13,Sheep,B00029,857,767,10.5,8.1,46.0,Supervisor 8,Night,Running
PROD00030,Ambur Unit,2025-04-13,Cow,B00030,116,96,17.24,11.0,72.0,Supervisor 7,Day,Completed
PROD00031,Chennai Finishing,2024-03-25,Cow,B00031,966,774,19.88,4.2,65.5,Supervisor 9,Night,Running
PROD00032,Chennai Finishing,2025-01-02,Sheep,B00032,205,167,18.54,7.5,39.5,Supervisor 11,Night,Completed
PROD00033,Chennai Finishing,2024-01-21,Cow,B00033,655,586,10.53,7.1,59.7,Supervisor 5,Day,Completed
PROD00034,Ranipet Unit,2025-09-17,Sheep,B00034,390,346,11.28,8.6,39.7,Supervisor 5,Night,Completed
PROD00035,Chennai Finishing,2025-02-22,Buffalo,B00035,761,621,18.4,7.9,38.7,Supervisor 3,Night,Completed
PROD00036,Ambur Unit,2025-04-27,Buffalo,B00036,914,788,13.79,11.2,68.1,Supervisor 2,Night,Completed
PROD00037,Ambur Unit,2025-11-29,Buffalo,B00037,964,748,22.41,8.3,72.3,Supervisor 8,Night,Completed
PROD00038,Ranipet Unit,2025-06-10,Cow,B00038,873,720,17.53,9.0,65.6,Supervisor 4,Night,Completed
PROD00039,Ambur Unit,2025-11-18,Sheep,B00039,876,788,10.05,5.6,50.7,Supervisor 4,Day,Completed
PROD00040,Vaniyambadi Unit,2025-03-25,Sheep,B00040,122,110,9.84,8.8,25.0,Supervisor 10,Day,Completed
PROD00041,Ranipet Unit,2024-05-30,Sheep,B00041,877,709,19.16,7.7,51.5,Supervisor 8,Day,Completed
PROD00042,Vaniyambadi Unit,2024-02-22,Buffalo,B00042,496,404,18.55,10.0,32.9,Supervisor 5,Night,Completed
PROD00043,Chennai Finishing,2025-06-04,Sheep,B00043,743,645,13.19,10.0,63.1,Supervisor 4,Day,Completed
PROD00044,Vaniyambadi Unit,2024-08-15,Goat,B00044,790,744,5.82,7.5,45.3,Supervisor 8,Day,Running
PROD00045,Chennai Finishing,2024-11-04,Goat,B00045,325,298,8.31,10.9,47.7,Supervisor 7,Day,Running
PROD00046,Chennai Finishing,2025-03-31,Goat,B00046,239,197,17.57,9.6,50.6,Supervisor 9,Night,Running
PROD00047,Ranipet Unit,2025-09-19,Goat,B00047,371,336,9.43,9.5,59.0,Supervisor 5,Night,Completed
PROD00048,Vaniyambadi Unit,2025-04-01,Sheep,B00048,701,575,17.97,10.3,72.7,Supervisor 1,Day,Running
PROD00049,Chennai Finishing,2024-10-15,Cow,B00049,498,419,15.86,6.1,29.0,Supervisor 8,Night,Running
PROD00050,Chennai Finishing,2024-12-25,Buffalo,B00050,463,354,23.54,6.4,24.6,Supervisor 8,Day,Completed
PROD00051,Ambur Unit,2024-02-03,Cow,B00051,160,139,13.12,8.6,36.7,Supervisor 1,Night,Running
