Inspection_ID,Batch_No,Leather_Grade,Thickness_mm,Color_Consistency,Tensile_Strength,Moisture,Defects,Inspection_Result,Rejected_Qty,Inspector
Q00001,B00164,A,1.32,85.0,23.3,12.5,No Defect,Pass,30,Inspector 1
Q00002,B05269,A,2.01,87.4,29.6,9.4,No Defect,Pass,19,Inspector 1
Q00003,B04344,C,2.07,87.0,28.6,10.2,Wrinkles,Pass,20,Inspector 10
Q00004,B00768,B,2.07,93.4,33.4,9.7,Uneven Dye,Pass,6,Inspector 10
Q00005,B07367,B,0.96,84.6,24.1,9.3,Uneven Dye,Pass,6,Inspector 4
Q00006,B04609,B,2.09,97.2,18.0,14.5,Scars,Pass,28,Inspector 3
Q00007,B01652,B,1.07,96.0,25.9,12.5,Wrinkles,Pass,0,Inspector 1
Q00008,B06987,C,1.09,95.7,15.2,10.7,Scars,Pass,7,Inspector 9
Q00009,B04814,A,1.69,92.3,30.4,11.5,No Defect,Pass,4,Inspector 5
Q00010,B04308,A+,1.75,94.0,26.0,11.5,No Defect,Pass,24,Inspector 7
Q00011,B07739,B,2.1,97.4,25.9,12.2,Loose Grain,Pass,8,Inspector 3
Q00012,B04662,A+,0.99,94.6,22.7,8.9,No Defect,Pass,3,Inspector 10
Q00013,B03047,A,1.78,89.7,21.6,9.8,No Defect,Pass,29,Inspector 8
Q00014,B03487,A+,1.76,90.9,26.4,9.9,No Defect,Pass,5,Inspector 3
Q00015,B03591,Rejected,1.87,91.2,20.0,13.6,Loose Grain,Fail,18,Inspector 1
Q00016,B00537,A+,1.45,82.2,25.3,13.1,No Defect,Pass,6,Inspector 6
Q00017,B07457,B,1.4,97.8,22.3,10.8,Scars,Pass,10,Inspector 4
Q00018,B05509,A,1.7,91.8,32.1,8.2,No Defect,Pass,26,Inspector 8
Q00019,B07276,B,1.76,80.3,33.9,12.6,Wrinkles,Pass,2,Inspector 8
Q00020,B01611,B,1.46,98.3,31.0,12.9,Pinholes,Pass,5,Inspector 5
Q00021,B00261,B,1.8,90.3,21.4,10.4,Wrinkles,Pass,11,Inspector 10
Q00022,B02410,A,0.92,81.8,28.1,14.6,No Defect,Pass,26,Inspector 6
Q00023,B02033,A,1.55,89.3,15.3,14.7,No Defect,Pass,16,Inspector 4
Q00024,B01783,Rejected,1.02,91.5,25.8,8.1,Loose Grain,Fail,19,Inspector 4
Q00025,B04161,A,1.73,97.4,30.9,9.7,No Defect,Pass,24,Inspector 9
Q00026,B01016,B,2.02,83.7,26.3,14.5,Uneven Dye,Pass,22,Inspector 4
Q00027,B01399,A+,1.28,99.1,27.6,14.4,No Defect,Pass,9,Inspector 10
Q00028,B00284,Rejected,0.83,98.0,31.4,10.0,Scars,Fail,27,Inspector 6
Q00029,B05638,A,1.02,84.0,15.5,12.7,No Defect,Pass,12,Inspector 1
Q00030,B07422,A,1.84,93.9,23.9,9.0,No Defect,Pass,18,Inspector 5
Q00031,B00622,A,1.21,82.0,30.1,8.2,No Defect,Pass,5,Inspector 3
Q00032,B02822,A,1.73,95.9,34.3,12.5,No Defect,Pass,4,Inspector 9
Q00033,B02744,A,1.66,83.4,24.0,13.3,No Defect,Pass,25,Inspector 8
Q00034,B07297,B,2.02,93.0,23.2,10.3,Scars,Pass,1,Inspector 9
Q00035,B06842,A,1.77,97.7,27.2,11.3,No Defect,Pass,4,Inspector 9
Q00036,B02186,A,2.17,87.4,16.6,11.6,No Defect,Pass,2,Inspector 5
Q00037,B01610,B,1.13,95.4,18.1,8.6,Scars,Pass,23,Inspector 2
Q00038,B00501,B,1.43,81.1,21.3,10.4,Scars,Pass,11,Inspector 5
Q00039,B07784,C,1.69,97.9,26.6,8.6,Scars,Pass,3,Inspector 5
Q00040,B01370,B,0.93,83.9,24.1,10.1,Pinholes,Pass,27,Inspector 5
Q00041,B07415,A,1.55,90.4,17.6,11.1,No Defect,Pass,23,Inspector 1
Q00042,B01799,B,1.16,99.1,19.5,11.4,Uneven Dye,Pass,26,Inspector 3
Q00043,B00283,A+,1.94,92.3,28.3,13.5,No Defect,Pass,14,Inspector 7
Q00044,B01322,B,2.2,85.6,28.5,10.2,Uneven Dye,Pass,3,Inspector 8
Q00045,B01119,B,1.55,84.2,29.9,14.9,Wrinkles,Pass,11,Inspector 9
Q00046,B02311,A,1.44,86.5,24.2,8.2,No Defect,Pass,26,Inspector 7
Q00047,B04101,B,1.34,94.1,27.9,10.6,Uneven Dye,Pass,13,Inspector 5
Q00048,B03180,C,1.58,80.6,30.0,10.5,Pinholes,Pass,0,Inspector 5
Q00049,B06423,A,1.98,88.6,20.2,10.9,No Defect,Pass,26,Inspector 9
