Shipment_ID,Order_ID,Container_No,Shipping_Date,Arrival_Date,Port,Destination_Country,Shipping_Cost,Delay_Days,Shipment_Status
SHIP00001,ORD00217,CONT15768,2025-03-29,2025-05-01,Tuticorin Port,USA,54020,0,In Transit
SHIP00002,ORD02344,CONT35347,2024-08-18,2024-09-12,Tuticorin Port,South Korea,86568,7,Delivered
SHIP00003,ORD01715,CONT83354,2025-08-23,2025-09-30,Tuticorin Port,Spain,121671,9,In Transit
SHIP00004,ORD01991,CONT67303,2025-01-26,2025-03-09,Chennai Port,UK,144720,10,Delivered
SHIP00005,ORD01367,CONT82706,2025-11-01,2025-12-12,Tuticorin Port,Italy,47209,9,Delivered
SHIP00006,ORD02319,CONT89842,2024-05-19,2024-06-22,Tuticorin Port,France,144194,9,Delivered
SHIP00007,ORD01293,CONT64228,2024-09-21,2024-10-25,Chennai Port,Italy,99543,10,In Transit
SHIP00008,ORD02562,CONT50440,2025-01-26,2025-02-13,Chennai Port,Spain,147484,9,In Transit
SHIP00009,ORD02078,CONT59541,2025-11-09,2025-12-15,Tuticorin Port,UK,122645,8,Delivered
SHIP00010,ORD01369,CONT92760,2024-04-24,2024-06-06,Chennai Port,Italy,48045,7,In Transit
SHIP00011,ORD01660,CONT75305,2024-02-05,2024-03-03,Tuticorin Port,UK,47328,2,In Transit
SHIP00012,ORD01366,CONT92080,2024-08-21,2024-09-11,Chennai Port,China,65075,8,In Transit
SHIP00013,ORD01142,CONT13395,2024-02-26,2024-03-30,Chennai Port,France,108091,9,In Transit
SHIP00014,ORD00581,CONT54577,2024-05-09,2024-05-25,Chennai Port,Spain,46727,4,Delivered
SHIP00015,ORD02536,CONT38376,2024-02-16,2024-03-20,Chennai Port,Italy,48659,1,In Transit
SHIP00016,ORD01884,CONT25904,2024-07-23,2024-09-01,Tuticorin Port,Spain,133434,9,In Transit
SHIP00017,ORD02433,CONT96777,2025-02-09,2025-02-25,Chennai Port,UK,127766,1,In Transit
SHIP00018,ORD02000,CONT65712,2025-02-07,2025-03-21,Tuticorin Port,China,129896,7,In Transit
SHIP00019,ORD02448,CONT33617,2025-03-02,2025-04-16,Chennai Port,China,41484,10,Delivered
SHIP00020,ORD02078,CONT13138,2024-06-15,2024-07-03,Tuticorin Port,Germany,46001,7,In Transit
SHIP00021,ORD02388,CONT85935,2024-12-28,2025-02-03,Chennai Port,France,92580,6,Delivered
SHIP00022,ORD01978,CONT40892,2025-05-19,2025-06-23,Chennai Port,China,104154,6,Delivered
SHIP00023,ORD01358,CONT73467,2025-10-19,2025-11-06,Tuticorin Port,Spain,105572,1,Delivered
SHIP00024,ORD02957,CONT41378,2025-11-21,2025-12-24,Tuticorin Port,USA,63091,8,Delivered
SHIP00025,ORD01215,CONT28351,2025-08-08,2025-08-31,Tuticorin Port,Germany,53613,0,Delivered
SHIP00026,ORD02238,CONT35675,2025-11-07,2025-12-10,Tuticorin Port,Germany,135154,2,Delivered
SHIP00027,ORD01277,CONT63623,2025-05-14,2025-06-26,Chennai Port,France,72580,6,Delivered
SHIP00028,ORD01883,CONT26547,2025-11-18,2025-12-07,Chennai Port,Vietnam,65342,1,Delivered
SHIP00029,ORD00454,CONT28633,2025-10-20,2025-11-26,Chennai Port,UK,59318,0,Delivered
SHIP00030,ORD01473,CONT54616,2024-04-29,2024-05-21,Chennai Port,UK,69583,10,Delivered
SHIP00031,ORD02414,CONT93662,2024-10-08,2024-11-07,Chennai Port,South Korea,147584,3,In Transit
